rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,date,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
11,80500,fashion & retail,francoise bettencourt meyers & family,69.0,france,paris,l'oréal,fashion & retail,france,False,u,f,1953-07-10 00:00:00,bettencourt meyers,francoise,2023-04-04 05:01:00,1953.0,7.0,10.0,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
12,79200,technology,larry page,50.0,united states,palo alto,google,technology,united states,True,d,m,1973-03-26 00:00:00,page,larry,2023-04-04 05:01:00,1973.0,3.0,26.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
13,77300,fashion & retail,amancio ortega,87.0,spain,la coruna,zara,fashion & retail,spain,True,u,m,1936-03-28 00:00:00,ortega,amancio,2023-04-04 05:01:00,1936.0,3.0,28.0,110.96,0.7,1394116310769,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
14,76000,technology,sergey brin,49.0,united states,los altos,google,technology,united states,True,d,m,1973-08-21 00:00:00,brin,sergey,2023-04-04 05:01:00,1973.0,8.0,21.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
15,68000,food & beverage,zhong shanshan,68.0,china,hangzhou,"beverages, pharmaceuticals",food & beverage,china,True,u,m,1954-12-01 00:00:00,zhong,shanshan,2023-04-04 05:01:00,1954.0,12.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
16,64400,technology,mark zuckerberg,38.0,united states,palo alto,facebook,technology,united states,True,d,m,1984-05-14 00:00:00,zuckerberg,mark,2023-04-04 05:01:00,1984.0,5.0,14.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
17,59000,diversified,charles koch & family,87.0,united states,wichita,koch industries,diversified,united states,False,d,m,1935-11-01 00:00:00,koch,charles,2023-04-04 05:01:00,1935.0,11.0,1.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
17,59000,diversified,julia koch & family,60.0,united states,new york,koch industries,diversified,united states,False,d,f,1962-04-12 00:00:00,koch,julia,2023-04-04 05:01:00,1962.0,4.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
19,58800,fashion & retail,jim walton,74.0,united states,bentonville,walmart,fashion & retail,united states,False,d,m,1948-06-07 00:00:00,walton,jim,2023-04-04 05:01:00,1948.0,6.0,7.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
20,57600,fashion & retail,rob walton & family,78.0,united states,bentonville,walmart,fashion & retail,united states,False,d,m,1944-10-27 00:00:00,walton,rob,2023-04-04 05:01:00,1944.0,10.0,27.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
21,56700,fashion & retail,alice walton,73.0,united states,fort worth,walmart,fashion & retail,united states,False,d,f,1949-10-07 00:00:00,walton,alice,2023-04-04 05:01:00,1949.0,10.0,7.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
22,54400,media & entertainment,david thomson & family,65.0,canada,toronto,media,media & entertainment,canada,False,u,m,1957-06-12 00:00:00,thomson,david,2023-04-04 05:01:00,1957.0,6.0,12.0,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
23,50100,technology,michael dell,58.0,united states,austin,dell technologies,technology,united states,True,d,m,1965-02-23 00:00:00,dell,michael,2023-04-04 05:01:00,1965.0,2.0,23.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
24,47200,diversified,gautam adani,60.0,india,ahmedabad,"infrastructure, commodities",diversified,india,True,d,m,1962-06-24 00:00:00,adani,gautam,2023-04-04 05:01:00,1962.0,6.0,24.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
25,45100,fashion & retail,phil knight & family,85.0,united states,hillsboro,nike,fashion & retail,united states,True,d,m,1938-02-24 00:00:00,knight,phil,2023-04-04 05:01:00,1938.0,2.0,24.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
26,45000,technology,zhang yiming,39.0,china,beijing,tiktok,technology,china,True,d,m,1984-01-01 00:00:00,zhang,yiming,2023-04-04 05:01:00,1984.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
27,42900,fashion & retail,dieter schwarz,83.0,germany,neckarsulm,retail,fashion & retail,germany,False,d,m,1939-09-24 00:00:00,schwarz,dieter,2023-04-04 05:01:00,1939.0,9.0,24.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
28,40100,fashion & retail,françois pinault & family,86.0,france,paris,luxury goods,fashion & retail,france,True,d,m,1936-08-21 00:00:00,pinault,françois,2023-04-04 05:01:00,1936.0,8.0,21.0,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
29,39100,logistics,klaus-michael kuehne,85.0,switzerland,schindellegi,shipping,logistics,germany,False,u,m,1937-06-02 00:00:00,kuehne,klaus-michael,2023-04-04 05:01:00,1937.0,6.0,2.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
30,38900,food & beverage,giovanni ferrero,58.0,belgium,brussels,"nutella, chocolates",food & beverage,italy,False,u,m,1964-09-21 00:00:00,ferrero,giovanni,2023-04-04 05:01:00,1964.0,9.0,21.0,117.11,1.4,529606710418,79.7,103.9,81.6,24.0,55.4,11484055.0,50.503887,4.469936
31,38300,food & beverage,jacqueline mars,83.0,united states,the plains,"candy, pet food",food & beverage,united states,False,u,f,1939-10-10 00:00:00,mars,jacqueline,2023-04-04 05:01:00,1939.0,10.0,10.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
31,38300,food & beverage,john mars,87.0,united states,jackson,"candy, pet food",food & beverage,united states,False,u,m,1935-10-15 00:00:00,mars,john,2023-04-04 05:01:00,1935.0,10.0,15.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
34,35300,technology,ma huateng,51.0,china,shenzhen,internet media,technology,china,True,d,m,1971-10-29 00:00:00,ma,huateng,2023-04-04 05:01:00,1971.0,10.0,29.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
35,35000,gambling & casinos,miriam adelson & family,77.0,united states,las vegas,casinos,gambling & casinos,united states,False,u,f,1945-10-10 00:00:00,adelson,miriam,2023-04-04 05:01:00,1945.0,10.0,10.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
35,35000,finance & investments,ken griffin,54.0,united states,miami,hedge funds,finance & investments,united states,True,u,m,1968-10-15 00:00:00,griffin,ken,2023-04-04 05:01:00,1968.0,10.0,15.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
37,34700,food & beverage,mark mateschitz,30.0,austria,salzburg,red bull,food & beverage,austria,False,n,m,1992-05-07 00:00:00,mateschitz,mark,2023-04-04 05:01:00,1992.0,5.0,7.0,118.06,1.5,446314739528,85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072
38,33400,automotive,robin zeng,54.0,china,ningde,batteries,automotive,hong kong,True,d,m,1969-01-01 00:00:00,zeng,robin,2023-04-04 05:01:00,1969.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
39,32600,fashion & retail,tadashi yanai & family,74.0,japan,tokyo,fashion retail,fashion & retail,japan,True,u,m,1949-02-07 00:00:00,yanai,tadashi,2023-04-04 05:01:00,1949.0,2.0,7.0,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
40,32100,diversified,len blavatnik,65.0,united kingdom,london,"music, chemicals",diversified,united states,True,d,m,1957-06-01 00:00:00,blavatnik,len,2023-04-04 05:01:00,1957.0,6.0,1.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
41,31600,fashion & retail,alain wertheimer,74.0,united states,new york,chanel,fashion & retail,france,False,u,m,1948-08-28 00:00:00,wertheimer,alain,2023-04-04 05:01:00,1948.0,8.0,28.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
41,31600,fashion & retail,gerard wertheimer,72.0,united states,new york,chanel,fashion & retail,france,False,u,m,1951-01-09 00:00:00,wertheimer,gerard,2023-04-04 05:01:00,1951.0,1.0,9.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
43,31200,logistics,gianluigi aponte,82.0,switzerland,geneva,shipping,logistics,switzerland,True,split family fortune,m,1940-06-27 00:00:00,aponte,gianluigi,2023-04-04 05:01:00,1940.0,6.0,27.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
43,31200,logistics,rafaela aponte-diamant,78.0,switzerland,geneva,shipping,logistics,switzerland,True,split family fortune,f,1945-03-26 00:00:00,aponte-diamant,rafaela,2023-04-04 05:01:00,1945.0,3.0,26.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
45,30200,technology,colin zheng huang,43.0,china,shanghai,e-commerce,technology,china,True,u,m,1980-02-02 00:00:00,huang,colin zheng,2023-04-04 05:01:00,1980.0,2.0,2.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
46,29700,manufacturing,reinhold wuerth & family,87.0,germany,kuenzelsau,fasteners,manufacturing,germany,True,u,m,1935-04-20 00:00:00,wuerth,reinhold,2023-04-04 05:01:00,1935.0,4.0,20.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
47,29500,real estate,lee shau kee,95.0,hong kong,hong kong,real estate,real estate,hong kong,True,d,m,1928-01-29 00:00:00,lee,shau kee,2023-04-04 05:01:00,1928.0,1.0,29.0,117.24,2.9,21427700000000,65.6,101.8,78.5,9.6,41.2,328239523.0,37.09024,10.451526
48,28500,finance & investments,jeff yass,64.0,united states,haverford,"trading, investments",finance & investments,united states,True,u,m,1958-07-17 00:00:00,yass,jeff,2023-04-04 05:01:00,1958.0,7.0,17.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
49,28100,finance & investments,jim simons,84.0,united states,east setauket,hedge funds,finance & investments,united states,True,d,m,1938-04-25 00:00:00,simons,jim,2023-04-04 05:01:00,1938.0,4.0,25.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
50,27800,finance & investments,stephen schwarzman,76.0,united states,new york,investments,finance & investments,united states,True,d,m,1947-02-14 00:00:00,schwarzman,stephen,2023-04-04 05:01:00,1947.0,2.0,14.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
51,27400,automotive,susanne klatten,60.0,germany,bad homburg,"bmw, pharmaceuticals",automotive,germany,False,u,f,1962-04-28 00:00:00,klatten,susanne,2023-04-04 05:01:00,1962.0,4.0,28.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
52,27000,metals & mining,gina rinehart,69.0,australia,perth,mining,metals & mining,australia,False,d,f,1954-02-09 00:00:00,rinehart,gina,2023-04-04 05:01:00,1954.0,2.0,9.0,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
53,26700,technology,william ding,51.0,china,hangzhou,online games,technology,china,True,u,m,1971-10-01 00:00:00,ding,william,2023-04-04 05:01:00,1971.0,10.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
54,26600,metals & mining,germán larrea mota velasco & family,69.0,mexico,mexico city,mining,metals & mining,mexico,False,d,m,1953-10-26 00:00:00,larrea mota velasco,germán,2023-04-04 05:01:00,1953.0,10.0,26.0,141.54,3.6,1258286717125,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
55,25600,technology,shiv nadar,77.0,india,delhi,software services,technology,india,True,d,m,1945-07-18 00:00:00,nadar,shiv,2023-04-04 05:01:00,1945.0,7.0,18.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
56,25500,energy,low tuck kwong,74.0,indonesia,jakarta,coal,energy,indonesia,True,u,m,1948-04-17 00:00:00,low tuck,kwong,2023-04-04 05:01:00,1948.0,4.0,17.0,151.18,3.0,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
57,25300,finance & investments,thomas peterffy,78.0,united states,palm beach,discount brokerage,finance & investments,united states,True,u,m,1944-09-30 00:00:00,peterffy,thomas,2023-04-04 05:01:00,1944.0,9.0,30.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
58,25200,metals & mining,andrey melnichenko & family,51.0,united arab emirates,ras al khaimah,"fertilizers, coal",metals & mining,russia,True,u,m,1972-03-08 00:00:00,melnichenko,andrey,2023-04-04 05:01:00,1972.0,3.0,8.0,114.52,-1.9,421142267938,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
59,24600,automotive,stefan quandt,56.0,germany,frankfurt,bmw,automotive,germany,False,u,m,1966-05-09 00:00:00,quandt,stefan,2023-04-04 05:01:00,1966.0,5.0,9.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
60,24400,technology,mackenzie scott,52.0,united states,seattle,amazon,technology,united states,False,d,f,1970-04-07 00:00:00,scott,mackenzie,2023-04-04 05:01:00,1970.0,4.0,7.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
61,24200,finance & investments,r. budi hartono,82.0,indonesia,kudus,"banking, tobacco",finance & investments,indonesia,False,u,m,1941-01-01 00:00:00,hartono,r. budi,2023-04-04 05:01:00,1941.0,1.0,1.0,151.18,3.0,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
62,23700,metals & mining,vladimir potanin,62.0,russia,moscow,metals,metals & mining,russia,True,u,m,1961-01-03 00:00:00,potanin,vladimir,2023-04-04 05:01:00,1961.0,1.0,3.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
63,23500,technology,jack ma,58.0,china,hangzhou,e-commerce,technology,china,True,u,m,1964-09-10 00:00:00,ma,jack,2023-04-04 05:01:00,1964.0,9.0,10.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
64,23400,manufacturing,he xiangjian & family,80.0,china,foshan,home appliances,manufacturing,china,True,d,m,1942-08-11 00:00:00,he,xiangjian,2023-04-04 05:01:00,1942.0,8.0,11.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
65,23100,metals & mining,iris fontbona & family,80.0,chile,santiago,mining,metals & mining,chile,False,u,f,1943-01-01 00:00:00,fontbona,iris,2023-04-04 05:01:00,1943.0,1.0,1.0,131.91,2.6,282318159745,88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969
65,23100,manufacturing,michael hartono,83.0,indonesia,kudus,"banking, tobacco",manufacturing,indonesia,False,u,m,1939-10-02 00:00:00,hartono,michael,2023-04-04 05:01:00,1939.0,10.0,2.0,151.18,3.0,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
67,22900,manufacturing,james ratcliffe,70.0,united kingdom,london,chemicals,manufacturing,united kingdom,True,u,m,1953-01-01 00:00:00,ratcliffe,james,2023-04-04 05:01:00,1953.0,1.0,1.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
68,22600,healthcare,cyrus poonawalla,81.0,india,pune,vaccines,healthcare,india,False,d,m,1941-05-11 00:00:00,poonawalla,cyrus,2023-04-04 05:01:00,1941.0,5.0,11.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
69,22400,telecom,masayoshi son,65.0,japan,tokyo,"internet, telecom",telecom,japan,True,u,m,1957-08-11 00:00:00,son,masayoshi,2023-04-04 05:01:00,1957.0,8.0,11.0,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
70,22100,metals & mining,vladimir lisin,66.0,russia,moscow,"steel, transport",metals & mining,russia,True,u,m,1956-05-07 00:00:00,lisin,vladimir,2023-04-04 05:01:00,1956.0,5.0,7.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
71,22000,food & beverage,emmanuel besnier,52.0,france,laval,cheese,food & beverage,france,False,d,m,1970-09-18 00:00:00,besnier,emmanuel,2023-04-04 05:01:00,1970.0,9.0,18.0,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
72,21600,finance & investments,abigail johnson,61.0,united states,milton,fidelity,finance & investments,united states,False,u,f,1961-12-19 00:00:00,johnson,abigail,2023-04-04 05:01:00,1961.0,12.0,19.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
72,21600,energy,leonid mikhelson & family,67.0,russia,moscow,"gas, chemicals",energy,russia,True,u,m,1955-08-11 00:00:00,mikhelson,leonid,2023-04-04 05:01:00,1955.0,8.0,11.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
74,21200,fashion & retail,lukas walton,36.0,united states,chicago,walmart,fashion & retail,united states,False,u,m,1986-09-19 00:00:00,walton,lukas,2023-04-04 05:01:00,1986.0,9.0,19.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
74,21200,service,wang wei,52.0,china,shenzhen,package delivery,service,china,True,d,m,1970-10-01 00:00:00,wang,wei,2023-04-04 05:01:00,1970.0,10.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
76,21100,technology,jensen huang,60.0,united states,los altos,semiconductors,technology,united states,True,u,m,1963-02-17 00:00:00,huang,jensen,2023-04-04 05:01:00,1963.0,2.0,17.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
77,21000,fashion & retail,leonard lauder,90.0,united states,new york,estee lauder,fashion & retail,united states,False,d,m,1933-03-19 00:00:00,lauder,leonard,2023-04-04 05:01:00,1933.0,3.0,19.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
77,21000,manufacturing,takemitsu takizaki,77.0,japan,osaka,sensors,manufacturing,japan,True,d,m,1945-06-10 00:00:00,takizaki,takemitsu,2023-04-04 05:01:00,1945.0,6.0,10.0,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
79,20900,metals & mining,alexey mordashov & family,57.0,russia,moscow,"steel, investments",metals & mining,russia,True,u,m,1965-09-26 00:00:00,mordashov,alexey,2023-04-04 05:01:00,1965.0,9.0,26.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
80,20500,energy,vagit alekperov,72.0,russia,moscow,oil,energy,russia,True,u,m,1950-09-01 00:00:00,alekperov,vagit,2023-04-04 05:01:00,1950.0,9.0,1.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
81,20200,healthcare,"thomas frist, jr. & family",84.0,united states,nashville,hospitals,healthcare,united states,True,d,m,1938-08-12 00:00:00,frist,thomas,2023-04-04 05:01:00,1938.0,8.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
82,19600,metals & mining,andrew forrest,61.0,australia,perth,mining,metals & mining,australia,True,u,m,1961-11-18 00:00:00,forrest,andrew,2023-04-04 05:01:00,1961.0,11.0,18.0,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
83,19100,finance & investments,ray dalio,73.0,united states,greenwich,hedge funds,finance & investments,united states,True,d,m,1949-08-08 00:00:00,dalio,ray,2023-04-04 05:01:00,1949.0,8.0,8.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
84,19000,automotive,eric li,59.0,china,hangzhou,automobiles,automotive,china,True,d,m,1963-06-01 00:00:00,li,eric,2023-04-04 05:01:00,1963.0,6.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
84,19000,metals & mining,wang wenyin,55.0,china,shenzhen,"mining, copper products",metals & mining,china,True,u,m,1968-03-01 00:00:00,wang,wenyin,2023-04-04 05:01:00,1968.0,3.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
86,18900,diversified,eyal ofer,72.0,monaco,monte carlo,"real estate, shipping",diversified,israel,False,u,m,1950-06-02 00:00:00,ofer,eyal,2023-04-04 05:01:00,1950.0,6.0,2.0,117.24,2.9,7184844193,65.6,101.8,78.5,9.6,41.2,38964.0,43.7384176,7.4246158
86,18900,food & beverage,qin yinglin,57.0,china,nanyang,pig breeding,food & beverage,china,True,d,m,1965-04-17 00:00:00,qin,yinglin,2023-04-04 05:01:00,1965.0,4.0,17.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
88,18700,automotive,wang chuanfu,57.0,china,shenzhen,"batteries, automobiles",automotive,china,True,d,m,1966-02-15 00:00:00,wang,chuanfu,2023-04-04 05:01:00,1966.0,2.0,15.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
89,18500,energy,harold hamm & family,77.0,united states,oklahoma city,oil & gas,energy,united states,True,u,m,1945-12-11 00:00:00,hamm,harold,2023-04-04 05:01:00,1945.0,12.0,11.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
89,18500,finance & investments,david tepper,65.0,united states,palm beach,hedge funds,finance & investments,united states,True,u,m,1957-09-11 00:00:00,tepper,david,2023-04-04 05:01:00,1957.0,9.0,11.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
89,18500,energy,gennady timchenko,70.0,russia,moscow,"oil, gas",energy,russia,True,u,m,1952-11-09 00:00:00,timchenko,gennady,2023-04-04 05:01:00,1952.0,11.0,9.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
92,18000,finance & investments,daniel gilbert,61.0,united states,franklin,quicken loans,finance & investments,united states,True,d,m,1962-01-17 00:00:00,gilbert,daniel,2023-04-04 05:01:00,1962.0,1.0,17.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
93,17700,metals & mining,lakshmi mittal,72.0,united kingdom,london,steel,metals & mining,india,False,d,m,1950-06-15 00:00:00,mittal,lakshmi,2023-04-04 05:01:00,1950.0,6.0,15.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
94,17500,finance & investments,steve cohen,66.0,united states,greenwich,hedge funds,finance & investments,united states,True,u,m,1956-06-11 00:00:00,cohen,steve,2023-04-04 05:01:00,1956.0,6.0,11.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
